United States COVID-19 Cases and Deaths by State
Date generated: Wed Apr 28 2021 11:11:43 GMT-0500 (Central Daylight Time)
State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000
Alaska,64786,0,0,1186,8856,341,null,null,12,46,162.1,1.6
Alabama,526348,407429,118919,2726,10735,10852,8554,2298,62,221,55.6,1.3
Arkansas,334769,0,0,1258,11093,5720,null,null,21,189,41.7,0.7
American Samoa,0,0,0,0,0,0,null,null,0,0,0,0
Arizona,859487,796845,62642,5034,11808,17268,15341,1927,115,237,69.2,1.6
California,3631740,0,0,13045,9191,60203,null,null,431,152,33,1.1
Colorado,503253,471024,32229,12187,8739,6255,5505,750,54,108,211.6,0.9
Connecticut,336933,309342,27591,5532,9450,8066,6633,1433,52,226,155.2,1.5
District of Columbia,47378,0,0,638,6713,1099,null,null,3,155,90.4,0.4
Delaware,103459,96584,6875,1912,10625,1617,1476,141,15,166,196.4,1.5
Florida,2170655,0,0,38347,10106,34912,null,null,441,162,178.5,2.1
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,1094580,876146,218434,9419,10309,20009,17421,2588,225,188,88.7,2.1
Guam,7939,0,0,55,4789,136,null,null,0,82,33.2,0
Hawaii,30955,0,0,522,2186,475,null,null,4,33,36.9,0.3
Iowa,363158,0,0,2985,11510,5927,null,null,41,187,94.6,1.3
Idaho,186725,149701,37024,1498,10449,2034,1773,261,12,113,83.8,0.7
Illinois,1323170,1323170,0,18970,10442,24150,21836,2314,174,190,149.7,1.4
Indiana,715468,0,0,6680,10628,13280,12870,410,54,197,99.2,0.8
Kansas,307865,248804,59061,1575,10568,4970,null,null,15,170,54.1,0.5
Kentucky,441166,333792,107374,3623,9875,6459,5829,630,53,144,81.1,1.2
Louisiana,456432,0,0,3081,9818,10342,9436,906,49,222,66.3,1.1
Massachusetts,651107,641211,9896,8504,9447,17419,17211,208,76,252,123.4,1.1
Maryland,444491,0,0,6907,7352,8688,8501,187,96,143,114.3,1.6
Maine,60430,45059,15371,2465,4496,777,752,25,10,57,183.4,0.7
Michigan,918880,825844,93036,36009,9201,18446,17324,1122,251,184,360.6,2.5
Minnesota,569440,0,0,11775,10097,7157,6692,465,53,126,208.8,0.9
Missouri,582483,0,0,4448,9491,8732,null,null,48,142,72.5,0.8
Northern Mariana Islands,164,164,0,2,0,2,2,0,0,3,0,0
Mississippi,311159,190253,120906,1574,10455,7188,4961,2227,23,241,52.9,0.8
Montana,108111,99030,9081,909,10115,1563,1563,0,17,146,85.1,1.6
North Carolina,962623,825418,137205,12717,9178,12560,11077,1483,142,119,121.3,1.4
North Dakota,106998,99017,7981,956,14041,1486,null,null,4,195,125.5,0.5
Nebraska,219090,0,0,1982,11326,2242,null,null,20,115,102.5,1
New Hampshire,93935,0,0,2152,6908,1286,null,null,16,94,158.3,1.2
New Jersey,988886,865700,123186,16855,11133,25399,22788,2611,238,285,189.8,2.7
New Mexico,196844,0,0,1366,9388,4027,null,null,20,192,65.2,1
Nevada,313680,0,0,2747,10184,5433,null,null,65,176,89.2,2.1
New York,1111096,0,0,16207,10051,19343,null,null,144,174,146.6,1.3
New York City,923535,762598,160937,13163,10996,32434,27344,5090,254,386,156.7,3
Ohio,1065702,896637,169065,10895,9117,19122,19122,0,131,163,93.2,1.1
Oklahoma,447393,353073,94320,1667,11306,6790,5761,1029,73,171,42.1,1.8
Oregon,181321,181321,0,5729,4299,2486,2486,0,26,58,135.8,0.6
Pennsylvania,1136057,957971,178086,26766,8874,25988,null,null,298,203,209.1,2.3
Puerto Rico,130037,114577,15460,5897,4072,2279,1946,333,66,71,184.7,2.1
Palau,0,0,0,0,0,0,null,null,0,0,0,0
Rhode Island,146960,0,0,1994,13872,2663,null,null,12,251,188.2,1.1
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,575259,479270,95989,4637,11173,9434,null,null,69,183,90.1,1.3
South Dakota,122080,0,0,891,13800,1960,1595,365,7,221,100.7,0.8
Tennessee,843059,697111,145948,7217,12345,12152,9756,2396,71,177,105.7,1
Texas,2866263,0,0,20195,9885,48973,null,null,353,168,69.7,1.2
Utah,395677,395677,0,2720,12342,2183,2119,64,17,68,84.8,0.5
Virginia,656034,510072,145962,7687,7686,10724,9010,1714,99,125,90.1,1.2
Virgin Islands,3090,0,0,49,2952,27,null,null,0,25,46.8,0
Vermont,22617,0,0,505,3625,244,null,null,2,39,80.9,0.3
Washington,397417,0,0,10497,5219,5450,null,null,56,71,137.9,0.7
Wisconsin,656932,595049,61883,4984,11283,7473,6756,717,53,128,85.6,0.9
West Virginia,151671,119387,32284,2524,8463,2821,null,null,36,157,140.8,2
Wyoming,57818,48852,8966,440,9990,705,705,0,2,121,76,0.4
United States of America,31924610,14716133,2295711,386305,9616,569771,284145,33694,4681,171,116.4,1.4
